Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0402_1005Metric",10.287000,13.335000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",15.176500,13.335000,0.000000,bottom
"U5","SN65HVD232","SOIC-8_3.9x4.9mm_P1.27mm",17.526000,17.653000,0.000000,bottom
"U6","AT25SF081-SSHD-X","SOIC-8_3.9x4.9mm_P1.27mm",7.620000,17.653000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",20.450000,29.150000,90.000000,top
"C3","100nF","C_0402_1005Metric",12.825000,21.950000,0.000000,top
"C4","100nF","C_0402_1005Metric",12.800000,13.350000,0.000000,top
"C5","100nF","C_0402_1005Metric",17.850000,12.050000,180.000000,top
"C6","10uF","C_0805_2012Metric",19.450000,41.300000,0.000000,top
"C7","3.3pF","C_0402_1005Metric",16.300000,32.865000,90.000000,top
"C8","10uF","C_0805_2012Metric",14.587500,30.200000,0.000000,top
"C9","1uF","C_0805_2012Metric",11.050000,30.200000,0.000000,top
"C11","100nF","C_0402_1005Metric",12.350000,39.400000,270.000000,top
"C12","1uF","C_0805_2012Metric",17.950000,30.150000,180.000000,top
"C13","100nF","C_0402_1005Metric",21.200000,46.600000,0.000000,top
"C14","1uF","C_0805_2012Metric",16.500000,26.187500,270.000000,top
"D1","SS14","D_SMA",1.800000,34.900000,90.000000,top
"D2","SS14","D_SMA",12.300000,34.900000,90.000000,top
"D3","BLED","D_0603_1608Metric",5.400000,28.050000,180.000000,top
"D4","BLED","D_0603_1608Metric",5.400000,25.750000,180.000000,top
"D5","BLED","D_0603_1608Metric",13.000000,41.950000,270.000000,top
"D8","RLED","D_0603_1608Metric",6.850000,49.050000,180.000000,top
"D9","BLED","D_0603_1608Metric",12.150000,49.050000,0.000000,top
"D10","GLED","D_0603_1608Metric",5.600000,21.400000,0.000000,top
"L1","3.3uH","L_0805_2012Metric",19.450000,39.450000,180.000000,top
"Q1","MMBT3904","SOT-23",20.300000,33.400000,90.000000,top
"R1","47k","R_0402_1005Metric",8.265000,5.700000,180.000000,top
"R2","47k","R_0402_1005Metric",8.250000,8.250000,0.000000,top
"R3","10k","R_0402_1005Metric",14.400000,21.850000,90.000000,top
"R4","47k","R_0402_1005Metric",17.750000,6.950000,180.000000,top
"R5","47k","R_0402_1005Metric",17.750000,4.450000,180.000000,top
"R6","47k","R_0402_1005Metric",8.250000,10.800000,0.000000,top
"R7","47k","R_0402_1005Metric",17.785000,9.500000,180.000000,top
"R8","100","R_0402_1005Metric",17.400000,31.900000,270.000000,top
"R9","10k","R_0402_1005Metric",17.405000,33.855000,270.000000,top
"R11","10k","R_0402_1005Metric",21.500000,29.165000,270.000000,top
"R12","120","R_0402_1005Metric",21.500000,15.450000,90.000000,top
"R13","10k","R_0402_1005Metric",21.750000,36.850000,90.000000,top
"R14","200k","R_0603_1608Metric",15.000000,36.100000,270.000000,top
"R15","620k","R_0603_1608Metric",15.000000,33.162500,90.000000,top
"R16","1k","R_0402_1005Metric",7.950000,28.450000,180.000000,top
"R17","1k","R_0402_1005Metric",8.000000,27.350000,180.000000,top
"R18","1k","R_0402_1005Metric",12.415000,28.900000,180.000000,top
"R19","1k","R_0402_1005Metric",14.350000,42.150000,90.000000,top
"R20","47k","R_0402_1005Metric",17.765000,5.700000,180.000000,top
"R21","47k","R_0402_1005Metric",17.750000,8.250000,180.000000,top
"R22","47k","R_0402_1005Metric",17.800000,10.750000,180.000000,top
"R23","47k","R_0402_1005Metric",8.265000,12.050000,0.000000,top
"R24","47k","R_0402_1005Metric",8.250000,9.500000,0.000000,top
"R25","47k","R_0402_1005Metric",8.250000,6.950000,0.000000,top
"R26","1k","R_0402_1005Metric",15.500000,49.050000,0.000000,top
"R27","1k","R_0402_1005Metric",8.950000,48.900000,90.000000,top
"R28","1k","R_0402_1005Metric",10.000000,48.900000,90.000000,top
"R29","10k","R_0402_1005Metric",8.200000,39.950000,180.000000,top
"R30","120","R_0402_1005Metric",21.200000,45.600000,180.000000,top
"R31","47k","R_0402_1005Metric",10.750000,39.950000,0.000000,top
"R32","10k","R_0402_1005Metric",7.965000,21.400000,0.000000,top
"R33","1k","R_0402_1005Metric",8.700000,23.000000,180.000000,top
"R34","1k","R_0402_1005Metric",8.700000,24.050000,180.000000,top
"U1","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",13.000000,8.250000,0.000000,top
"U2","STM32L432KBUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",12.800000,17.650000,315.000000,top
"U3","TPS61040","SOT-23-5",19.200000,36.850000,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",7.050000,33.400000,270.000000,top
"U7","DW01+G","SOT-23-6",15.050000,46.650000,270.000000,top
"U8","FS8205A","TSSOP-8_4.4x3mm_P0.65mm",18.500000,46.100000,270.000000,top
"U9","TP4056","TP4056_SOP-8-PP",9.450000,44.150000,90.000000,top
"U10","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",12.450000,25.800000,180.000000,top
