Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0402_1005Metric,10.287,13.335,180,bottom
C10,100nF,C_0402_1005Metric,15.1765,13.335,0,bottom
U5,SN65HVD232,SOIC-8_3.9x4.9mm_P1.27mm,17.526,17.653,270,bottom
U6,AT25SF081-SSHD-X,SOIC-8_3.9x4.9mm_P1.27mm,7.62,17.653,270,bottom
C1,100nF,C_0402_1005Metric,20.45,29.15,90,top
C3,100nF,C_0402_1005Metric,12.825,21.95,0,top
C4,100nF,C_0402_1005Metric,12.8,13.35,0,top
C5,100nF,C_0402_1005Metric,17.85,12.05,180,top
C6,10uF,C_0805_2012Metric,19.45,41.3,0,top
C7,3.3pF,C_0402_1005Metric,16.3,32.865,90,top
C8,10uF,C_0805_2012Metric,14.5875,30.2,0,top
C9,1uF,C_0805_2012Metric,11.05,30.2,0,top
C11,100nF,C_0402_1005Metric,12.35,39.4,270,top
C12,1uF,C_0805_2012Metric,17.95,30.15,180,top
C13,100nF,C_0402_1005Metric,21.2,46.6,0,top
C14,1uF,C_0805_2012Metric,16.5,26.1875,270,top
D1,SS14,D_SMA,1.8,34.9,90,top
D2,SS14,D_SMA,12.3,34.9,90,top
D3,BLED,D_0603_1608Metric,5.4,28.05,180,top
D4,BLED,D_0603_1608Metric,5.4,25.75,180,top
D5,BLED,D_0603_1608Metric,13,41.95,270,top
D8,RLED,D_0603_1608Metric,6.85,49.05,180,top
D9,BLED,D_0603_1608Metric,12.15,49.05,0,top
D10,GLED,D_0603_1608Metric,5.6,21.4,0,top
L1,3.3uH,L_0805_2012Metric,19.45,39.45,180,top
Q1,MMBT3904,SOT-23,20.3,33.4,270,top
R1,47k,R_0402_1005Metric,8.265,5.7,180,top
R2,47k,R_0402_1005Metric,8.25,8.25,0,top
R3,10k,R_0402_1005Metric,14.4,21.85,90,top
R4,47k,R_0402_1005Metric,17.75,6.95,180,top
R5,47k,R_0402_1005Metric,17.75,4.45,180,top
R6,47k,R_0402_1005Metric,8.25,10.8,0,top
R7,47k,R_0402_1005Metric,17.785,9.5,180,top
R8,100,R_0402_1005Metric,17.4,31.9,270,top
R9,10k,R_0402_1005Metric,17.405,33.855,270,top
R11,10k,R_0402_1005Metric,21.5,29.165,270,top
R12,120,R_0402_1005Metric,21.5,15.45,90,top
R13,10k,R_0402_1005Metric,21.75,36.85,90,top
R14,200k,R_0603_1608Metric,15,36.1,270,top
R15,620k,R_0603_1608Metric,15,33.1625,90,top
R16,1k,R_0402_1005Metric,7.95,28.45,180,top
R17,1k,R_0402_1005Metric,8,27.35,180,top
R18,1k,R_0402_1005Metric,12.415,28.9,180,top
R19,1k,R_0402_1005Metric,14.35,42.15,90,top
R20,47k,R_0402_1005Metric,17.765,5.7,180,top
R21,47k,R_0402_1005Metric,17.75,8.25,180,top
R22,47k,R_0402_1005Metric,17.8,10.75,180,top
R23,47k,R_0402_1005Metric,8.265,12.05,0,top
R24,47k,R_0402_1005Metric,8.25,9.5,0,top
R25,47k,R_0402_1005Metric,8.25,6.95,0,top
R26,1k,R_0402_1005Metric,15.5,49.05,0,top
R27,1k,R_0402_1005Metric,8.95,48.9,90,top
R28,1k,R_0402_1005Metric,10,48.9,90,top
R29,10k,R_0402_1005Metric,8.2,39.95,180,top
R30,120,R_0402_1005Metric,21.2,45.6,180,top
R31,47k,R_0402_1005Metric,10.75,39.95,0,top
R32,10k,R_0402_1005Metric,7.965,21.4,0,top
R33,1k,R_0402_1005Metric,8.7,23,180,top
R34,1k,R_0402_1005Metric,8.7,24.05,180,top
U1,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,13,8.25,270,top
U2,STM32L432KBUx,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,12.8,17.65,315,top
U3,TPS61040,SOT-23-5,19.2,36.85,180,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,7.05,33.4,90,top
U7,DW01+G,SOT-23-6,15.05,46.65,90,top
U8,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,18.5,46.1,180,top
U9,TP4056,TP4056_SOP-8-PP,9.45,44.15,0,top
U10,CP2104,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,12.45,25.8,90,top
